Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
58917,e625,"OAGTAC12","D","OAGTAC12 via ISSI","Multi-Tac","WiPSN ISSI"
58919,e627,"WKLAW1","D","WKLAW1 via ISSI","Law Tac","Waukesha County"
58920,e628,"WKLAW2","D","WKLAW2 via ISSI","Law Tac","Waukesha County"
58921,e629,"WKLAW3","D","WKLAW3 via ISSI","Law Tac","Waukesha County"
58922,e62a,"WKLAW4","D","WKLAW4 via ISSI","Law Tac","Waukesha County"
58925,e62d,"OAMCLAW1","D","MCLAW1 via ISSI","Law Tac","Milwaukee County"
58926,e62e,"OAMCLAW2","D","MCLAW2 via ISSI","Law Tac","Milwaukee County"
58927,e62f,"OAMCLAW3","D","MCLAW3 via ISSI","Law Tac","Milwaukee County"
58928,e630,"OAMCLAW4","D","MCLAW4 via ISSI","Law Tac","Milwaukee County"
59010,e682,"SHSCAN","D","Shawano County Scan","Interop","Shawano County"
59011,e683,"SHCOM","D","Shawano County Common","Multi-Talk","Shawano County"
59012,e684,"SHTRVL","D","Shawano County Travel","Multi-Talk","County Travel"
59106,e6e2,"SHSHEMS","D","Shawano Ambulance Service","EMS-Talk","Shawano County"
59510,e876,"WPSCAN","D","Waupaca County Scan","Interop","Waupaca County"
59511,e877,"WPCOM","D","Waupaca County Common","Multi-Talk","Waupaca County"
59512,e878,"WPTRVL","D","Waupaca County Travel","Multi-Talk","County Travel"
60010,ea6a,"SBSCAN","D","Sheboygan County Scan","Interop","Sheboygan County"
60011,ea6b,"SBCOM","D","Sheboygan County Common","Multi-Talk","Sheboygan County"
60012,ea6c,"SBTRVL","D","Sheboygan County Travel","Multi-Talk","County Travel"
60510,ec5e,"WSSCAN","D","Waushara County Scan","Interop","Waushara County"
60511,ec5f,"WSCOM","D","Waushara County Common","Multi-Talk","Waushara County"
60512,ec60,"WSTRVL","D","Waushara County Travel","Multi-Talk","County Travel"
61001,ee49,"TALAW1","D","Taylor County Law 1","Law Dispatch","Taylor County"
61002,ee4a,"TALAW2","D","Taylor County Law 2","Law Talk","Taylor County"
61007,ee4f,"TAFIRE1","D","Taylor County Fire 1","Fire Dispatch","Taylor County"
61009,ee51,"TAEVENT","D","Taylor County Event","Multi-Talk","Taylor County"
61011,ee53,"TACOM","D","Taylor County Common","Multi-Talk","Taylor County"
61012,ee54,"TATRVL","D","Taylor County Travel","Multi-Talk","County Travel"
61501,f03d,"WILAW1","D","Winnebago County Law Dispatch","Law Dispatch","Winnebago County"
61510,f046,"WISCAN","D","Winnebago County Scan","Interop","Winnebago County"
61511,f047,"WICOM","D","Winnebago County Common","Multi-Talk","Winnebago County"
61512,f048,"WITRVL","D","Winnebago County Travel","Multi-Talk","County Travel"
62007,f237,"TRFIR1","D","Trempealeau County Fire 1","Fire Dispatch","Trempealeau County"
62008,f238,"TRFIR2","D","Trempealeau County Fire 2","Fire-Talk","Trempealeau County"
62010,f23a,"TRSCAN ","D","Tremplealeau County Scan","Interop","Trempealeau County"
62011,f23b,"TRCOM","D","Tremplealeau County Common","Multi-Talk","Trempealeau County"
62012,f23c,"TRTRVL","D","Trempealeau County Travel","Multi-Talk","County Travel"
62510,f42e,"WOSCAN","D","Wood County Scan","Interop","Wood County"
62511,f42f,"WOCOM","D","Wood County Common","Multi-Talk","Wood County"
62512,f430,"WOTRVL","D","Wood County Travel","Multi-Talk","County Travel"
62601,f489,"WOMDPD","D","Marshfield PD","Law Talk","Wood County"
62607,f48f,"WOMDFD","D","Marshfield FD","Fire-Talk","Wood County"
62717,f4fd,"WOPIFD","D","Pittsville FD","Fire-Talk","Wood County"
62827,f56b,"WOPEFD","D","Port Edwards FD","Fire-Talk","Wood County"
62852,f584,"WOCAFD","D","Cameron FD","Fire-Talk","Wood County"
62917,f5c5,"WOROFD","D","Town of Rock FD","Fire-Talk","Wood County"
63010,f622,"VESCAN","D","Vernon County Scan","Interop","Vernon County"
63011,f623,"VECOM","D","Vernon County Common","Multi-Talk","Vernon County"
63012,f624,"VETRVL","D","Vernon County Travel","Multi-Talk","County Travel"
